Gene,variable,Expression,Group
CD9_MOUSE,116_1,1191502502,116
HSP7C_MOUSE,116_1,10645950684,116
PDC6I_MOUSE,116_1,2792945885,116
G3P_MOUSE,116_1,15194913209,116
ACTB_MOUSE,116_1,10519094403,116
ANXA2_MOUSE,116_1,413988068.5,116
CD63_MOUSE,116_1,91142772.06,116
SDCB1_MOUSE,116_1,2784661987,116
ENOA_MOUSE,116_1,6713763787,116
HS90A_MOUSE,116_1,8730815614,116
TS101_MOUSE,116_1,634051952.3,116
KPYM_MOUSE,116_1,7209960934,116
LDHA_MOUSE,116_1,3254336975,116
EF1A1_MOUSE,116_1,5749306852,116
1433Z_MOUSE,116_1,325055914.3,116
PGK1_MOUSE,116_1,3551793436,116
EF2_MOUSE,116_1,22897680954,116
ALDOA_MOUSE,116_1,376312480.3,116
HS90B_MOUSE,116_1,6127599728,116
ANXA5_MOUSE,116_1,522937424.3,116
FAS_MOUSE,116_1,2036185972,116
1433E_MOUSE,116_1,1027714297,116
CLH1_MOUSE,116_1,5489868929,116
CD81_MOUSE,116_1,2556074548,116
ALBU_MOUSE,116_1,75605600404,116
TERA_MOUSE,116_1,1027282897,116
TPIS_MOUSE,116_1,1640587994,116
PPIA_MOUSE,116_1,7675571958,116
MOES_MOUSE,116_1,678595612,116
COF1_MOUSE,116_1,570418041.8,116
PRDX1_MOUSE,116_1,4463932233,116
PROF1_MOUSE,116_1,7007563190,116
RAP1B_MOUSE,116_1,737720903,116
ITB1_MOUSE,116_1,3654946602,116
GRP78_MOUSE,116_1,1294748548,116
4F2_MOUSE,116_1,718239211.7,116
H4_MOUSE,116_1,14173822347,116
GBB2_MOUSE,116_1,136815395.8,116
AT1A1_MOUSE,116_1,1.37E+11,116
1433T_MOUSE,116_1,193864982.6,116
FLOT1_MOUSE,116_1,1331496699,116
FLNA_MOUSE,116_1,8494851360,116
CLIC1_MOUSE,116_1,3744045352,116
CDC42_MOUSE,116_1,275560605.7,116
TCPB_MOUSE,116_1,392632835.7,116
A2MP_MOUSE,116_1,1.59E+11,116
1433G_MOUSE,116_1,161949663.6,116
RAC1_MOUSE,116_1,720045249.1,116
LG3BP_MOUSE,116_1,171924607.6,116
GNAI2_MOUSE,116_1,446680668.6,116
ANXA1_MOUSE,116_1,209250971.4,116
RHOA_MOUSE,116_1,210193749.4,116
MFGM_MOUSE,116_1,3491953865,116
PRDX2_MOUSE,116_1,126212660.3,116
GDIB_MOUSE,116_1,969736542.1,116
EHD4_MOUSE,116_1,615540597.2,116
ACTN4_MOUSE,116_1,27859405.58,116
1433B_MOUSE,116_1,200395056.5,116
RAB7A_MOUSE,116_1,2570250616,116
LDHB_MOUSE,116_1,3971012313,116
GNAS1_MOUSE,116_1,967315987.9,116
TFR1_MOUSE,116_1,1084483913,116
RAB5C_MOUSE,116_1,9972828.363,116
ANXA6_MOUSE,116_1,1129529973,116
ANX11_MOUSE,116_1,1643181593,116
IMB1_MOUSE,116_1,302903528.5,116
EZRI_MOUSE,116_1,207466165.3,116
ANXA4_MOUSE,116_1,245750038.2,116
ACLY_MOUSE,116_1,1546470751,116
RAB14_MOUSE,116_1,437682959.6,116
GBB1_MOUSE,116_1,317244373.4,116
UBA1_MOUSE,116_1,4935169692,116
TSP1_MOUSE,116_1,22211124658,116
RAN_MOUSE,116_1,2482952533,116
FPRP_MOUSE,116_1,3290976426,116
TCPE_MOUSE,116_1,2629504090,116
TCPG_MOUSE,116_1,1718367533,116
BASI_MOUSE,116_1,207470603.7,116
SAHH_MOUSE,116_1,15481995097,116
RAB5B_MOUSE,116_1,17919893.84,116
RAB1A_MOUSE,116_1,1243629790,116
LAMP2_MOUSE,116_1,39913012,116
ITA6_MOUSE,116_1,6644344686,116
GELS_MOUSE,116_1,1740572939,116
FINC_MOUSE,116_1,99543572069,116
1433F_MOUSE,116_1,294883356,116
TBA1A_MOUSE,116_1,145718667,116
TKT_MOUSE,116_1,416946258.8,116
TCPA_MOUSE,116_1,613988494.4,116
STOM_MOUSE,116_1,230408967.7,116
MOT1_MOUSE,116_1,161037345.3,116
RAB8A_MOUSE,116_1,64626553.76,116
HBE_MOUSE,116_1,1.94E+11,116
SHC1_MOUSE,116_1,1.17E+11,116
CO3_MOUSE,116_1,98820723370,116
SQSTM_MOUSE,116_1,86560587612,116
HBA_MOUSE,116_1,76850989971,116
PRP19_MOUSE,116_1,70467669715,116
MPRI_MOUSE,116_1,61492267864,116
THRB_MOUSE,116_1,58211000342,116
FETUA_MOUSE,116_1,50228670669,116
CASZ1_MOUSE,116_1,45027004271,116
FRAS1_MOUSE,116_1,39677771995,116
ZZEF1_MOUSE,116_1,36376578424,116
PGBM_MOUSE,116_1,33172951993,116
PCLO_MOUSE,116_1,26484768514,116
YL021_MOUSE,116_1,31939400378,116
SMAD2_MOUSE,116_1,37295550266,116
CP110_MOUSE,116_1,34475181122,116
COPA_MOUSE,116_1,32415492612,116
WDR1_MOUSE,116_1,32625924198,116
PP4R1_MOUSE,116_1,38463556737,116
ATS7_MOUSE,116_1,27740927921,116
CE162_MOUSE,116_1,24504246993,116
H2B1B_MOUSE,116_1,8585832518,116
SBP1_MOUSE,116_1,26465711357,116
DOCK7_MOUSE,116_1,20811004959,116
M4K4_MOUSE,116_1,20112954512,116
PP1B_MOUSE,116_1,17795700383,116
AMOT_MOUSE,116_1,20761249291,116
CCD80_MOUSE,116_1,19183180841,116
LUM_MOUSE,116_1,17859338788,116
TLN1_MOUSE,116_1,17086775889,116
SERPH_MOUSE,116_1,16543309749,116
PYGB_MOUSE,116_1,20902563861,116
CEBPZ_MOUSE,116_1,13073578962,116
NAA15_MOUSE,116_1,14803909030,116
ALKB3_MOUSE,116_1,16653145651,116
